date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-02-24,28,9,0.0,11.6,5,83,07:41 PM,07:19 AM,06:07 AM,06:04 PM,12,17,18,17,5,37,75,13.0,1012,28,9,195,3,Florida
2016-02-25,23,8,0.0,11.6,4,75,08:25 PM,08:00 AM,06:07 AM,06:04 PM,10,14,14,14,5,44,81,22.0,1013,23,8,234,3,Florida
2016-02-26,19,9,0.0,11.6,3,68,09:10 PM,08:40 AM,06:06 AM,06:04 PM,10,12,12,12,5,37,88,17.2,1013,19,9,234,4,Florida
2016-02-27,27,8,0.0,11.6,5,60,09:55 PM,09:22 AM,06:06 AM,06:04 PM,13,16,17,16,5,41,80,5.1,1011,27,9,216,4,Florida
2016-02-28,28,9,0.0,11.6,5,53,10:41 PM,10:04 AM,06:06 AM,06:04 PM,14,18,19,18,5,39,79,5.2,1012,28,9,240,4,Florida
2016-02-29,29,11,0.0,11.6,5,45,11:28 PM,10:48 AM,06:05 AM,06:04 PM,17,23,23,22,7,25,76,8.0,1013,29,9,214,4,Florida
2016-03-01,29,8,0.0,11.6,5,43,No moonrise,11:34 AM,06:05 AM,06:04 PM,14,18,19,18,5,31,78,8.4,1013,29,9,191,4,Florida
2016-03-02,28,19,0.0,11.6,6,36,12:17 AM,12:22 PM,06:04 AM,06:04 PM,19,24,24,23,6,30,77,5.1,1013,28,9,191,4,Florida
2016-03-03,27,8,0.0,11.6,5,29,01:08 AM,01:13 PM,06:04 AM,06:04 PM,17,22,22,21,4,32,81,5.5,1012,27,9,216,3,Florida
2016-03-04,28,10,0.0,11.6,4,22,02:00 AM,02:06 PM,06:04 AM,06:04 PM,12,16,17,16,5,27,78,3.4,1013,28,9,253,4,Florida
2016-03-05,24,8,0.0,11.6,4,14,02:52 AM,03:01 PM,06:03 AM,06:04 PM,10,14,15,14,4,27,77,6.6,1012,24,9,222,3,Florida
2016-03-06,27,8,0.0,11.6,4,7,03:46 AM,03:58 PM,06:03 AM,06:04 PM,13,16,17,16,4,34,83,16.7,1014,27,8,271,3,Florida
2016-03-07,27,7,0.0,11.6,4,0,04:39 AM,04:55 PM,06:02 AM,06:04 PM,13,16,17,16,5,33,83,12.2,1015,27,9,220,3,Florida
2016-03-08,28,7,0.0,11.6,5,0,05:33 AM,05:53 PM,06:02 AM,06:04 PM,12,16,17,16,5,24,78,8.2,1014,28,8,178,4,Florida
2016-03-09,29,7,0.0,11.6,5,0,06:25 AM,06:51 PM,06:02 AM,06:04 PM,12,17,18,17,6,21,75,10.6,1013,29,9,189,4,Florida
2016-03-10,22,8,0.0,11.6,4,7,07:18 AM,07:49 PM,06:01 AM,06:04 PM,9,14,15,14,6,22,73,6.7,1014,22,9,183,4,Florida
2016-03-11,29,8,0.0,11.6,5,14,08:11 AM,08:47 PM,06:01 AM,06:04 PM,11,17,17,17,6,22,73,7.6,1014,29,9,183,4,Florida
2016-03-12,29,8,0.0,12.0,5,22,09:05 AM,09:45 PM,06:00 AM,06:04 PM,12,17,18,17,6,22,71,2.4,1013,29,10,217,4,Florida
2016-03-13,28,9,0.0,12.0,5,29,10:00 AM,10:43 PM,06:00 AM,06:04 PM,13,19,19,19,5,24,72,1.7,1013,28,10,252,4,Florida
2016-03-14,28,8,0.0,12.5,6,36,10:55 AM,11:40 PM,05:59 AM,06:04 PM,14,21,21,20,5,25,71,0.3,1014,28,10,225,4,Florida
2016-03-15,29,11,0.0,12.5,5,44,11:50 AM,No moonset,05:59 AM,06:04 PM,13,18,18,18,6,30,74,6.5,1013,29,9,197,4,Florida
2016-03-16,29,8,0.0,12.5,5,51,12:44 PM,12:35 AM,05:58 AM,06:03 PM,13,18,19,18,5,27,75,15.9,1012,29,9,189,4,Florida
2016-03-17,25,10,0.0,12.5,5,58,01:37 PM,01:28 AM,05:58 AM,06:03 PM,18,21,21,20,4,43,87,17.0,1013,25,9,189,3,Florida
2016-03-18,29,8,0.0,12.5,5,65,02:28 PM,02:18 AM,05:57 AM,06:03 PM,12,17,17,17,7,27,76,5.9,1012,29,9,154,4,Florida
2016-03-19,30,8,0.0,12.5,5,73,03:18 PM,03:06 AM,05:57 AM,06:03 PM,13,18,18,17,6,25,76,9.8,1012,30,9,160,4,Florida
2016-03-20,29,9,0.0,12.5,5,80,04:05 PM,03:52 AM,05:56 AM,06:03 PM,13,18,19,18,8,20,74,16.7,1012,29,8,156,5,Florida
2016-03-21,29,20,0.0,12.5,6,87,04:52 PM,04:35 AM,05:56 AM,06:03 PM,18,25,25,24,8,20,73,7.9,1013,29,9,164,5,Florida
2016-03-22,29,15,0.0,12.5,6,94,05:37 PM,05:17 AM,05:55 AM,06:03 PM,17,24,24,23,10,16,69,6.0,1014,29,9,159,6,Florida
2016-03-23,31,9,0.0,12.5,6,100,06:21 PM,05:58 AM,05:55 AM,06:03 PM,10,19,19,18,11,7,57,1.6,1013,31,10,153,7,Florida
2016-03-24,31,11,0.0,12.5,6,100,07:06 PM,06:38 AM,05:54 AM,06:03 PM,11,21,21,20,10,10,58,0.2,1011,31,10,195,6,Florida
2016-03-25,31,9,0.0,12.5,6,84,07:51 PM,07:20 AM,05:54 AM,06:03 PM,12,19,19,19,5,18,70,0.1,1011,31,10,178,4,Florida
2016-03-26,30,9,0.0,12.5,5,76,08:36 PM,08:01 AM,05:53 AM,06:02 PM,12,19,19,19,6,18,69,1.3,1012,30,10,216,4,Florida
2016-03-27,30,9,0.0,12.5,5,69,09:24 PM,08:44 AM,05:53 AM,06:02 PM,13,19,19,18,6,28,71,7.2,1013,30,9,179,4,Florida
2016-03-28,29,11,0.0,12.5,6,62,10:11 PM,09:29 AM,05:52 AM,06:02 PM,14,21,21,21,7,21,70,8.5,1013,29,9,180,5,Florida
2016-03-29,30,8,0.0,12.5,5,55,11:00 PM,10:16 AM,05:52 AM,06:02 PM,12,18,18,18,6,17,71,1.9,1013,30,9,221,4,Florida
2016-03-30,29,8,0.0,12.5,5,47,11:51 PM,11:05 AM,05:52 AM,06:02 PM,13,18,19,18,6,22,74,6.0,1013,29,10,181,4,Florida
2016-03-31,28,12,0.0,12.5,5,43,No moonrise,11:56 AM,05:51 AM,06:02 PM,14,20,20,20,6,18,71,3.0,1014,28,10,215,4,Florida
2016-04-01,30,8,0.0,12.5,5,26,12:41 AM,12:48 PM,05:51 AM,06:02 PM,14,19,19,19,5,24,75,19.3,1014,30,8,194,4,Florida
2016-04-02,25,10,0.0,11.8,5,19,01:33 AM,01:43 PM,05:50 AM,06:02 PM,14,16,17,16,4,50,88,46.2,1014,25,6,248,3,Florida
2016-04-03,26,9,0.0,12.5,5,11,02:24 AM,02:38 PM,05:50 AM,06:02 PM,15,18,18,18,5,57,87,27.1,1014,26,8,218,4,Florida
2016-04-04,27,11,0.0,12.5,5,4,03:17 AM,03:34 PM,05:49 AM,06:02 PM,17,21,21,20,7,33,83,15.1,1014,27,9,192,5,Florida
2016-04-05,28,9,0.0,12.5,5,0,04:09 AM,04:31 PM,05:49 AM,06:01 PM,13,17,17,17,5,39,78,10.1,1014,28,8,197,3,Florida
2016-04-06,28,10,0.0,12.5,5,0,05:02 AM,05:30 PM,05:48 AM,06:01 PM,14,19,19,18,5,24,78,0.6,1012,28,10,198,4,Florida
2016-04-07,28,8,0.0,12.5,5,0,05:55 AM,06:28 PM,05:48 AM,06:01 PM,14,19,19,18,4,22,77,4.5,1011,28,10,243,3,Florida
2016-04-08,29,9,0.0,12.5,5,3,06:50 AM,07:29 PM,05:47 AM,06:01 PM,13,19,19,18,5,27,78,16.8,1011,29,8,207,3,Florida
2016-04-09,27,13,0.0,12.5,5,11,07:46 AM,08:28 PM,05:47 AM,06:01 PM,18,22,22,21,5,27,83,23.1,1011,27,8,152,3,Florida
2016-04-10,28,10,0.0,12.6,6,19,08:42 AM,09:29 PM,05:46 AM,06:01 PM,18,23,23,22,5,30,79,21.2,1012,28,8,186,3,Florida
2016-04-11,27,9,0.0,12.6,5,26,09:40 AM,10:26 PM,05:46 AM,06:01 PM,14,19,19,18,5,33,81,17.0,1012,27,8,202,3,Florida
2016-04-12,27,9,0.0,12.6,4,34,10:36 AM,11:23 PM,05:45 AM,06:01 PM,14,17,18,17,6,38,82,11.0,1013,27,9,224,4,Florida
2016-04-13,22,15,0.0,11.8,4,41,11:32 AM,No moonset,05:45 AM,06:01 PM,15,18,19,18,6,54,83,3.8,1012,22,8,189,4,Florida
2016-04-14,22,15,0.0,11.8,4,49,12:24 PM,12:15 AM,05:45 AM,06:01 PM,15,18,19,18,6,55,85,3.8,1013,22,8,192,4,Florida
2016-04-15,22,14,0.0,10.5,4,56,01:15 PM,01:04 AM,05:44 AM,06:01 PM,15,18,19,18,6,67,84,5.9,1013,22,8,177,4,Florida
2016-04-16,22,15,0.0,7.9,4,64,02:03 PM,01:51 AM,05:44 AM,06:01 PM,15,18,19,18,6,78,83,7.2,1013,22,8,198,4,Florida
2016-04-17,22,15,0.0,11.8,4,71,02:50 PM,02:34 AM,05:43 AM,06:01 PM,16,19,19,19,6,61,84,5.0,1012,22,9,190,4,Florida
2016-04-18,23,15,0.0,10.5,5,79,03:35 PM,03:17 AM,05:43 AM,06:01 PM,15,19,19,19,6,65,82,4.9,1012,23,8,182,4,Florida
2016-04-19,22,16,0.0,10.5,4,87,04:19 PM,03:57 AM,05:43 AM,06:01 PM,16,19,19,19,6,68,84,7.0,1013,22,8,193,4,Florida
2016-04-20,22,15,0.0,10.5,4,94,05:04 PM,04:38 AM,05:42 AM,06:01 PM,15,18,19,18,6,60,84,7.4,1012,22,8,197,4,Florida
2016-04-21,29,15,0.0,12.6,6,100,05:49 PM,05:19 AM,05:42 AM,06:01 PM,17,22,22,22,6,28,76,15.0,1011,29,8,212,4,Florida
2016-04-22,29,14,0.0,12.6,6,100,06:34 PM,06:00 AM,05:41 AM,06:01 PM,17,23,23,22,4,31,77,18.1,1013,29,9,188,3,Florida
2016-04-23,28,18,0.0,12.6,5,83,07:21 PM,06:42 AM,05:41 AM,06:01 PM,20,24,24,23,6,56,84,69.1,1012,28,6,220,4,Florida
2016-04-24,24,13,0.0,9.2,5,76,08:08 PM,07:27 AM,05:41 AM,06:01 PM,18,20,21,20,4,68,91,50.7,1013,24,7,233,3,Florida
2016-04-25,27,8,0.0,12.6,5,68,08:57 PM,08:13 AM,05:40 AM,06:01 PM,14,18,18,17,5,41,85,20.9,1011,27,8,231,3,Florida
2016-04-26,27,9,0.0,12.6,5,61,09:47 PM,09:01 AM,05:40 AM,06:01 PM,15,19,19,18,4,34,86,34.2,1010,27,7,225,3,Florida
2016-04-27,28,8,0.0,12.6,5,53,10:36 PM,09:51 AM,05:40 AM,06:01 PM,15,19,19,18,5,38,86,26.1,1011,28,8,277,3,Florida
2016-04-28,24,9,0.0,11.9,5,46,11:27 PM,10:42 AM,05:39 AM,06:01 PM,15,17,18,17,5,61,91,44.7,1013,24,7,221,4,Florida
2016-04-29,26,8,0.0,12.6,5,38,No moonrise,11:34 AM,05:39 AM,06:01 PM,15,18,18,18,5,33,84,13.4,1012,26,9,230,4,Florida
2016-04-30,27,8,0.0,12.6,5,30,12:16 AM,12:27 PM,05:39 AM,06:01 PM,14,18,18,18,6,30,80,10.4,1011,27,9,218,4,Florida
2016-05-01,25,8,0.0,10.5,5,29,01:07 AM,01:21 PM,05:38 AM,06:01 PM,13,16,17,16,5,61,85,17.5,1013,25,9,212,3,Florida
2016-05-02,26,8,0.0,12.6,5,22,01:57 AM,02:16 PM,05:38 AM,06:01 PM,13,17,17,17,5,45,81,15.0,1014,26,9,254,4,Florida
2016-05-03,27,7,0.0,12.6,5,15,02:47 AM,03:12 PM,05:38 AM,06:01 PM,13,17,17,17,4,21,78,4.8,1014,27,9,237,3,Florida
2016-05-04,24,9,0.0,10.5,4,8,03:39 AM,04:09 PM,05:38 AM,06:01 PM,14,16,17,16,3,56,90,19.7,1014,24,7,217,2,Florida
2016-05-05,28,10,0.0,12.6,6,0,04:32 AM,05:08 PM,05:37 AM,06:01 PM,16,22,22,21,5,17,77,3.4,1012,28,9,190,4,Florida
2016-05-06,26,7,0.0,12.6,5,0,05:28 AM,06:09 PM,05:37 AM,06:01 PM,14,17,18,17,5,39,85,39.3,1013,26,7,205,4,Florida
2016-05-07,24,8,0.0,10.5,5,0,06:24 AM,07:10 PM,05:37 AM,06:01 PM,14,16,17,16,5,68,89,49.9,1013,24,8,247,4,Florida
2016-05-08,26,15,0.0,12.6,5,7,07:23 AM,08:11 PM,05:37 AM,06:01 PM,19,23,23,21,4,44,89,35.7,1013,26,7,234,3,Florida
2016-05-09,27,14,0.0,12.6,5,14,08:22 AM,09:10 PM,05:37 AM,06:01 PM,18,22,22,21,5,52,85,20.0,1013,27,7,164,3,Florida
2016-05-10,23,8,0.0,11.9,4,21,09:20 AM,10:06 PM,05:36 AM,06:01 PM,13,16,16,16,5,51,87,15.8,1015,23,9,137,4,Florida
2016-05-11,27,7,0.0,12.7,5,29,10:16 AM,10:58 PM,05:36 AM,06:02 PM,14,17,18,17,5,23,82,3.7,1014,27,9,182,4,Florida
2016-05-12,28,11,0.0,12.7,5,36,11:09 AM,11:47 PM,05:36 AM,06:02 PM,16,20,20,20,4,23,80,8.8,1014,28,9,205,3,Florida
2016-05-13,30,8,0.0,12.7,5,43,11:59 AM,No moonset,05:36 AM,06:02 PM,13,19,19,18,4,30,75,9.3,1014,30,8,184,3,Florida
2016-05-14,29,10,0.0,12.7,5,50,12:47 PM,12:32 AM,05:36 AM,06:02 PM,14,20,20,18,7,42,74,17.1,1013,29,9,166,4,Florida
2016-05-15,30,8,0.0,12.7,5,58,01:33 PM,01:16 AM,05:36 AM,06:02 PM,14,20,20,19,7,28,74,17.0,1013,30,9,160,4,Florida
2016-05-16,30,9,0.0,12.7,5,65,02:17 PM,01:57 AM,05:36 AM,06:02 PM,13,20,20,18,10,24,69,10.7,1013,30,9,162,6,Florida
2016-05-17,30,10,0.0,12.7,5,72,03:02 PM,02:37 AM,05:35 AM,06:02 PM,12,20,20,18,9,31,65,3.4,1014,30,9,167,5,Florida
2016-05-18,19,9,0.0,12.7,4,80,03:46 PM,03:18 AM,05:35 AM,06:03 PM,12,15,15,15,5,34,80,3.7,1014,19,7,68,3,Florida
2016-05-19,22,15,0.0,11.9,4,87,04:31 PM,03:59 AM,05:35 AM,06:03 PM,16,19,19,19,6,62,86,8.2,1012,22,8,203,4,Florida
2016-05-20,22,15,0.0,12.7,4,94,05:18 PM,04:41 AM,05:35 AM,06:03 PM,16,18,19,18,6,61,87,8.5,1013,22,7,186,4,Florida
2016-05-21,21,15,0.0,10.6,4,100,06:05 PM,05:25 AM,05:35 AM,06:03 PM,16,19,19,19,6,58,87,8.2,1013,21,8,179,4,Florida
2016-05-22,30,19,0.0,12.7,6,100,06:54 PM,06:10 AM,05:35 AM,06:03 PM,18,25,25,24,6,17,72,4.3,1012,30,10,207,4,Florida
2016-05-23,30,10,0.0,12.7,6,84,07:44 PM,06:58 AM,05:35 AM,06:04 PM,17,24,24,22,5,22,72,7.4,1013,30,9,211,4,Florida
2016-05-24,30,8,0.0,12.7,5,77,08:34 PM,07:48 AM,05:35 AM,06:04 PM,13,19,19,18,5,21,74,9.8,1015,30,9,185,4,Florida
2016-05-25,28,8,0.0,12.7,5,70,09:24 PM,08:39 AM,05:35 AM,06:04 PM,14,19,19,18,5,31,80,20.4,1015,28,9,169,3,Florida
2016-05-26,16,9,0.0,12.7,5,62,10:14 PM,09:31 AM,05:35 AM,06:04 PM,14,15,15,15,6,38,92,0.1,1015,16,10,130,3,Florida
2016-05-27,28,16,0.0,12.7,5,55,11:03 PM,10:22 AM,05:35 AM,06:04 PM,15,21,21,21,5,34,71,0.2,1012,28,10,190,4,Florida
2016-05-28,26,9,0.0,12.7,5,48,11:52 PM,11:15 AM,05:35 AM,06:05 PM,15,19,20,19,4,35,75,3.7,1013,26,10,224,3,Florida
2016-05-29,25,8,0.0,11.9,5,40,No moonrise,12:08 PM,05:35 AM,06:05 PM,16,18,19,18,4,61,86,15.7,1015,25,7,278,3,Florida
2016-05-30,27,9,0.0,12.7,5,33,12:40 AM,01:02 PM,05:35 AM,06:05 PM,16,20,20,20,4,46,81,6.9,1013,27,8,273,3,Florida
2016-05-31,22,9,0.0,11.9,4,29,01:30 AM,01:56 PM,05:35 AM,06:05 PM,15,18,18,18,7,66,84,15.0,1013,22,8,178,4,Florida
2016-06-01,26,10,0.0,12.7,5,12,02:20 AM,02:52 PM,05:35 AM,06:06 PM,17,21,21,20,5,55,84,30.8,1013,26,7,223,3,Florida
2016-06-02,27,8,0.0,12.7,5,4,03:13 AM,03:51 PM,05:35 AM,06:06 PM,17,21,21,20,4,44,84,28.9,1014,27,8,201,3,Florida
2016-06-03,26,7,0.0,12.7,5,0,04:08 AM,04:51 PM,05:36 AM,06:06 PM,13,16,17,16,6,37,84,45.2,1014,26,6,143,4,Florida
2016-06-04,29,6,0.0,12.7,5,0,05:05 AM,05:52 PM,05:36 AM,06:06 PM,12,18,18,17,11,16,73,23.4,1013,29,8,157,6,Florida
2016-06-05,30,6,0.0,12.7,5,0,06:04 AM,06:52 PM,05:36 AM,06:06 PM,10,18,18,17,11,11,65,12.2,1013,30,9,157,6,Florida
2016-06-06,27,6,0.0,12.7,5,3,07:03 AM,07:51 PM,05:36 AM,06:07 PM,13,18,18,17,5,37,82,38.2,1014,27,7,170,3,Florida
2016-06-07,25,9,0.0,12.7,5,11,08:01 AM,08:46 PM,05:36 AM,06:07 PM,14,16,17,16,4,53,84,23.3,1015,25,8,218,3,Florida
2016-06-08,28,7,0.0,12.7,5,18,08:57 AM,09:39 PM,05:36 AM,06:07 PM,14,19,19,18,5,34,80,16.2,1015,28,9,150,3,Florida
2016-06-09,27,7,0.0,12.7,5,26,09:50 AM,10:26 PM,05:36 AM,06:07 PM,15,20,20,19,7,35,81,30.4,1015,27,8,162,4,Florida
2016-06-10,16,8,0.0,12.7,4,33,10:40 AM,11:12 PM,05:36 AM,06:08 PM,13,14,15,14,13,22,89,45.6,1016,16,6,78,6,Florida
2016-06-11,26,9,0.0,12.7,5,41,11:28 AM,11:54 PM,05:37 AM,06:08 PM,14,18,19,18,8,29,77,17.0,1017,26,9,173,5,Florida
2016-06-12,28,6,0.0,12.7,5,48,12:13 PM,No moonset,05:37 AM,06:08 PM,13,19,19,18,6,32,76,27.9,1016,28,8,172,4,Florida
2016-06-13,27,7,0.0,12.7,5,56,12:58 PM,12:35 AM,05:37 AM,06:08 PM,13,18,18,18,4,29,77,17.9,1015,27,8,182,3,Florida
2016-06-14,24,8,0.0,12.7,4,63,01:43 PM,01:16 AM,05:37 AM,06:09 PM,14,16,17,16,6,52,84,26.0,1016,24,8,185,4,Florida
2016-06-15,17,11,0.0,12.7,3,71,02:27 PM,01:57 AM,05:37 AM,06:09 PM,13,14,14,14,5,45,93,2.6,1016,17,9,146,2,Florida
2016-06-16,23,14,0.0,9.3,4,79,03:13 PM,02:38 AM,05:37 AM,06:09 PM,15,18,19,18,8,62,82,7.7,1014,23,8,170,5,Florida
2016-06-17,28,9,0.0,12.7,5,86,04:00 PM,03:21 AM,05:38 AM,06:09 PM,14,20,20,19,8,20,74,14.3,1014,28,9,167,5,Florida
2016-06-18,27,6,0.0,12.7,5,94,04:49 PM,04:06 AM,05:38 AM,06:10 PM,13,16,17,16,7,32,80,14.8,1014,27,8,172,4,Florida
2016-06-19,27,7,0.0,12.7,5,100,05:39 PM,04:54 AM,05:38 AM,06:10 PM,13,16,17,16,6,42,82,24.2,1014,27,9,180,4,Florida
